	Number of genomes	Effect size	Replicate	Rank of causal gene
523	25	2.0	11	1.0
524	25	2.0	12	39.0
525	25	2.0	13	
526	25	2.0	14	1.0
527	25	2.0	15	2.0
528	25	2.0	16	1.0
529	25	2.0	17	104.0
530	25	2.0	18	
531	25	2.0	19	5.0
532	25	2.0	2	7.0
533	25	2.0	3	27.0
534	25	2.0	4	10.0
535	25	2.0	5	1.0
536	25	2.0	6	1.0
537	25	2.0	7	1.0
538	25	2.0	8	112.0
539	25	2.0	9	
540	25	3.0	0	1.0
541	25	3.0	1	1.0
542	25	3.0	10	1.0
543	25	3.0	11	5.0
544	25	3.0	12	1.0
545	25	3.0	13	1.0
546	25	3.0	14	1.0
547	25	3.0	15	1.0
548	25	3.0	16	
549	25	3.0	17	3.0
550	25	3.0	18	3.0
551	25	3.0	19	1.0
552	25	3.0	2	1.0
553	25	3.0	3	1.0
554	25	3.0	4	1.0
555	25	3.0	5	1.0
556	25	3.0	6	4.0
557	25	3.0	7	1.0
558	25	3.0	8	1.0
559	25	3.0	9	1.0
560	50	0.5	0	3.0
561	50	0.5	1	
562	50	0.5	10	
563	50	0.5	11	
564	50	0.5	12	
565	50	0.5	13	
566	50	0.5	14	3.0
567	50	0.5	15	
568	50	0.5	16	
569	50	0.5	17	
570	50	0.5	18	
571	50	0.5	19	
572	50	0.5	2	
573	50	0.5	3	53.0
574	50	0.5	4	67.0
575	50	0.5	5	21.0
576	50	0.5	6	
577	50	0.5	7	
578	50	0.5	8	
579	50	0.5	9	
580	50	0.75	0	1.0
581	50	0.75	1	
582	50	0.75	10	
583	50	0.75	11	
584	50	0.75	12	
585	50	0.75	13	
586	50	0.75	14	1.0
587	50	0.75	15	
588	50	0.75	16	
589	50	0.75	17	
590	50	0.75	18	
591	50	0.75	19	
592	50	0.75	2	39.0
593	50	0.75	3	13.0
594	50	0.75	4	49.0
595	50	0.75	5	5.0
596	50	0.75	6	
597	50	0.75	7	
598	50	0.75	8	
599	50	0.75	9	
600	50	1.0	0	
601	50	1.0	1	28.0
602	50	1.0	10	26.0
603	50	1.0	11	100.0
604	50	1.0	12	98.0
605	50	1.0	13	1.0
606	50	1.0	14	
607	50	1.0	15	
608	50	1.0	16	
609	50	1.0	17	64.0
610	50	1.0	18	98.0
611	50	1.0	19	
612	50	1.0	2	7.0
613	50	1.0	3	18.0
614	50	1.0	4	2.0
615	50	1.0	5	
616	50	1.0	6	
617	50	1.0	7	198.0
618	50	1.0	8	
619	50	1.0	9	
620	50	1.5	0	
621	50	1.5	1	2.0
622	50	1.5	10	3.0
623	50	1.5	11	9.0
624	50	1.5	12	1.0
625	50	1.5	13	9.0
626	50	1.5	14	67.0
627	50	1.5	15	18.0
628	50	1.5	16	73.0
629	50	1.5	17	46.0
630	50	1.5	18	1.0
631	50	1.5	19	1.0
632	50	1.5	2	1.0
633	50	1.5	3	1.0
634	50	1.5	4	1.0
635	50	1.5	5	1.0
636	50	1.5	6	196.0
637	50	1.5	7	33.0
638	50	1.5	8	3.0
639	50	1.5	9	1.0
640	50	2.5	0	1.0
641	50	2.5	1	1.0
642	50	2.5	10	1.0
643	50	2.5	11	1.0
644	50	2.5	12	2.0
645	50	2.5	13	1.0
646	50	2.5	14	1.0
647	50	2.5	15	1.0
648	50	2.5	16	1.0
649	50	2.5	17	1.0
650	50	2.5	18	1.0
651	50	2.5	19	1.0
652	50	2.5	2	1.0
653	50	2.5	3	1.0
654	50	2.5	4	1.0
655	50	2.5	5	1.0
656	50	2.5	6	1.0
657	50	2.5	7	1.0
658	50	2.5	8	1.0
659	50	2.5	9	1.0
660	50	2.0	0	1.0
661	50	2.0	1	1.0
662	50	2.0	10	1.0
663	50	2.0	11	1.0
664	50	2.0	12	1.0
665	50	2.0	13	9.0
666	50	2.0	14	1.0
667	50	2.0	15	1.0
668	50	2.0	16	1.0
669	50	2.0	17	1.0
670	50	2.0	18	1.0
671	50	2.0	19	4.0
672	50	2.0	2	1.0
673	50	2.0	3	1.0
674	50	2.0	4	10.0
675	50	2.0	5	1.0
676	50	2.0	6	1.0
677	50	2.0	7	2.0
678	50	2.0	8	1.0
679	50	2.0	9	1.0
680	50	3.0	0	1.0
681	50	3.0	1	1.0
682	50	3.0	10	1.0
683	50	3.0	11	1.0
684	50	3.0	12	1.0
685	50	3.0	13	1.0
686	50	3.0	14	1.0
687	50	3.0	15	1.0
688	50	3.0	16	1.0
689	50	3.0	17	1.0
690	50	3.0	18	1.0
691	50	3.0	19	1.0
692	50	3.0	2	1.0
693	50	3.0	3	1.0
694	50	3.0	4	1.0
695	50	3.0	5	1.0
696	50	3.0	6	1.0
697	50	3.0	7	1.0
698	50	3.0	8	1.0
699	50	3.0	9	1.0
700	75	0.5	0	
701	75	0.5	1	
702	75	0.5	10	
703	75	0.5	11	60.0
704	75	0.5	12	
705	75	0.5	13	
706	75	0.5	14	
707	75	0.5	15	13.0
708	75	0.5	16	
709	75	0.5	17	
710	75	0.5	18	169.0
711	75	0.5	19	
712	75	0.5	2	
713	75	0.5	3	
714	75	0.5	4	
715	75	0.5	5	
716	75	0.5	6	
717	75	0.5	7	
718	75	0.5	8	
719	75	0.5	9	26.0
720	75	0.75	0	20.0
721	75	0.75	1	44.0
722	75	0.75	10	1.0
723	75	0.75	11	6.0
724	75	0.75	12	4.0
725	75	0.75	13	5.0
726	75	0.75	14	18.0
727	75	0.75	15	3.0
728	75	0.75	16	9.0
729	75	0.75	17	
730	75	0.75	18	121.0
731	75	0.75	19	
732	75	0.75	2	29.0
733	75	0.75	3	168.0
734	75	0.75	4	
735	75	0.75	5	18.0
736	75	0.75	6	126.0
737	75	0.75	7	
738	75	0.75	8	5.0
739	75	0.75	9	8.0
740	75	1.0	0	50.0
741	75	1.0	1	5.0
742	75	1.0	10	4.0
743	75	1.0	11	1.0
744	75	1.0	12	2.0
745	75	1.0	13	2.0
746	75	1.0	14	2.0
747	75	1.0	15	1.0
748	75	1.0	16	4.0
749	75	1.0	17	48.0
750	75	1.0	18	6.0
751	75	1.0	19	1.0
752	75	1.0	2	108.0
753	75	1.0	3	
754	75	1.0	4	23.0
755	75	1.0	5	14.0
756	75	1.0	6	14.0
757	75	1.0	7	28.0
758	75	1.0	8	1.0
759	75	1.0	9	1.0
760	75	1.5	0	1.0
761	75	1.5	1	1.0
762	75	1.5	10	1.0
763	75	1.5	11	1.0
764	75	1.5	12	1.0
765	75	1.5	13	1.0
766	75	1.5	14	1.0
767	75	1.5	15	1.0
768	75	1.5	16	1.0
769	75	1.5	17	1.0
770	75	1.5	18	1.0
771	75	1.5	19	2.0
772	75	1.5	2	21.0
773	75	1.5	3	1.0
774	75	1.5	4	1.0
775	75	1.5	5	1.0
776	75	1.5	6	1.0
777	75	1.5	7	1.0
778	75	1.5	8	1.0
779	75	1.5	9	1.0
780	75	2.5	0	1.0
781	75	2.5	1	1.0
782	75	2.5	10	1.0
783	75	2.5	11	1.0
784	75	2.5	12	1.0
785	75	2.5	13	1.0
786	75	2.5	14	1.0
787	75	2.5	15	1.0
788	75	2.5	16	1.0
789	75	2.5	17	1.0
790	75	2.5	18	1.0
791	75	2.5	19	1.0
792	75	2.5	2	1.0
793	75	2.5	3	1.0
794	75	2.5	4	1.0
795	75	2.5	5	1.0
796	75	2.5	6	1.0
797	75	2.5	7	1.0
798	75	2.5	8	1.0
799	75	2.5	9	1.0
800	75	2.0	0	1.0
801	75	2.0	1	1.0
802	75	2.0	10	1.0
803	75	2.0	11	1.0
804	75	2.0	12	1.0
805	75	2.0	13	1.0
806	75	2.0	14	1.0
807	75	2.0	15	1.0
808	75	2.0	16	1.0
809	75	2.0	17	1.0
810	75	2.0	18	1.0
811	75	2.0	19	1.0
812	75	2.0	2	1.0
813	75	2.0	3	1.0
814	75	2.0	4	2.0
815	75	2.0	5	1.0
816	75	2.0	6	1.0
817	75	2.0	7	1.0
818	75	2.0	8	1.0
819	75	2.0	9	1.0
820	75	3.0	0	1.0
821	75	3.0	1	1.0
822	75	3.0	10	1.0
823	75	3.0	11	1.0
824	75	3.0	12	1.0
825	75	3.0	13	1.0
826	75	3.0	14	1.0
827	75	3.0	15	1.0
828	75	3.0	16	1.0
829	75	3.0	17	1.0
830	75	3.0	18	1.0
831	75	3.0	19	1.0
832	75	3.0	2	1.0
833	75	3.0	3	1.0
834	75	3.0	4	1.0
835	75	3.0	5	1.0
836	75	3.0	6	1.0
837	75	3.0	7	1.0
838	75	3.0	8	1.0
839	75	3.0	9	1.0
